element_id,original_id,tag,carrier,host_or_staff
nab84ff73a7aa5887--tuplet--start--1,,tuplet,stamp,nab84ff73a7aa5887
nba939162274dc902--tuplet--stop--1,,tuplet,stamp,nba939162274dc902
nc7618f5a5ec2527d--tuplet--start--1,,tuplet,stamp,nc7618f5a5ec2527d
n833dae28b3b1a9a0--tuplet--stop--1,,tuplet,stamp,n833dae28b3b1a9a0
nfb20208b60a8db2c--tuplet--start--1,,tuplet,stamp,nfb20208b60a8db2c
n5742c05d08d3e338--tuplet--stop--1,,tuplet,stamp,n5742c05d08d3e338
nbe4e3251f6aa2087--tuplet--start--1,,tuplet,stamp,nbe4e3251f6aa2087
n2b3d4eae700c8380--tuplet--stop--1,,tuplet,stamp,n2b3d4eae700c8380
n414c0e4b21460ae2--tie--1,,tie,derive,n414c0e4b21460ae2
n414c0e4b21460ae2--tied--start--1,,tied,stamp,n414c0e4b21460ae2
nc79ec70d2f260877--tie--1,,tie,derive,nc79ec70d2f260877
nc79ec70d2f260877--tied--stop--1,,tied,stamp,nc79ec70d2f260877
n4309cd6a0fb7e9fb--tuplet--start--1,,tuplet,stamp,n4309cd6a0fb7e9fb
n434eec59379ae802--tuplet--stop--1,,tuplet,stamp,n434eec59379ae802
n4de91365cf8b83ea--tuplet--start--1,,tuplet,stamp,n4de91365cf8b83ea
nf4ec4b119a810114--tuplet--stop--1,,tuplet,stamp,nf4ec4b119a810114
neb3497b82b5e94ff--tuplet--start--1,,tuplet,stamp,neb3497b82b5e94ff
n18385ba1f4831536--tuplet--stop--1,,tuplet,stamp,n18385ba1f4831536
ne8e8a25cbc55affb--tuplet--start--1,,tuplet,stamp,ne8e8a25cbc55affb
n01b7936d48604fba--tuplet--stop--1,,tuplet,stamp,n01b7936d48604fba
n3bacde8a2a370ce8--tie--1,,tie,derive,n3bacde8a2a370ce8
n3bacde8a2a370ce8--tied--start--1,,tied,stamp,n3bacde8a2a370ce8
n03469a943168c577--tie--1,,tie,derive,n03469a943168c577
n03469a943168c577--tied--stop--1,,tied,stamp,n03469a943168c577
n3ddce628440fa2fe--tie--1,,tie,derive,n3ddce628440fa2fe
n3ddce628440fa2fe--tied--start--1,,tied,stamp,n3ddce628440fa2fe
na79718485a5d26a7--tuplet--start--1,,tuplet,stamp,na79718485a5d26a7
n2395f923c740d2a1--tuplet--stop--1,,tuplet,stamp,n2395f923c740d2a1
n71c66cb27ce85586--tuplet--start--1,,tuplet,stamp,n71c66cb27ce85586
n5019d099246ce032--tuplet--stop--1,,tuplet,stamp,n5019d099246ce032
nc596c90c3334c8fc--tuplet--start--1,,tuplet,stamp,nc596c90c3334c8fc
n2e7266880edb2054--tuplet--stop--1,,tuplet,stamp,n2e7266880edb2054
nd8452557ed7bca0f--tuplet--start--1,,tuplet,stamp,nd8452557ed7bca0f
n65b33cc5ab91807e--tuplet--stop--1,,tuplet,stamp,n65b33cc5ab91807e
n90e7e95aabce685b--tie--1,,tie,derive,n90e7e95aabce685b
n90e7e95aabce685b--tied--stop--1,,tied,stamp,n90e7e95aabce685b
n90e7e95aabce685b--tuplet--start--1,,tuplet,stamp,n90e7e95aabce685b
n2993681d4c17b11e--tuplet--stop--1,,tuplet,stamp,n2993681d4c17b11e
nfb17c01dc40f1faa--tuplet--start--1,,tuplet,stamp,nfb17c01dc40f1faa
ned2e83b89f2658f4--tuplet--stop--1,,tuplet,stamp,ned2e83b89f2658f4
na496024c67350fc8--tuplet--start--1,,tuplet,stamp,na496024c67350fc8
