element_id,original_id,tag,carrier,host_or_staff
e94e25f36f1e90e8c,,other-direction,md,1
eb6e7dd019b125077,eb6e7dd019b125077,words,md,1
ed7974e5bb14222e8,ed7974e5bb14222e8,dynamics,md,1
nee683076c4ab0f1b--tuplet--start--1,nee683076c4ab0f1b--tuplet--start--1,tuplet,stamp,nee683076c4ab0f1b
n2cdc9dd33b10ff7d--tuplet--stop--1,n2cdc9dd33b10ff7d--tuplet--stop--1,tuplet,stamp,n2cdc9dd33b10ff7d
n63ec6c04ab0ecd46--tuplet--start--1,n63ec6c04ab0ecd46--tuplet--start--1,tuplet,stamp,n63ec6c04ab0ecd46
nf5085195266f6fc1--tuplet--stop--1,nf5085195266f6fc1--tuplet--stop--1,tuplet,stamp,nf5085195266f6fc1
ec6072a53b64c5275,ec6072a53b64c5275,pedal,md,2
nb5da92dd0147e4cc--tuplet--start--1,nb5da92dd0147e4cc--tuplet--start--1,tuplet,stamp,nb5da92dd0147e4cc
n55ad7140b05f5587--tuplet--stop--1,n55ad7140b05f5587--tuplet--stop--1,tuplet,stamp,n55ad7140b05f5587
n3f1b57c3590d0059--tuplet--start--1,n3f1b57c3590d0059--tuplet--start--1,tuplet,stamp,n3f1b57c3590d0059
ncd4c6181959673d0--tuplet--stop--1,ncd4c6181959673d0--tuplet--stop--1,tuplet,stamp,ncd4c6181959673d0
ndd3e672281dbe3e1--tie--1,,tie,derive,ndd3e672281dbe3e1
ndd3e672281dbe3e1--tied--start--1,ndd3e672281dbe3e1--tied--start--1,tied,stamp,ndd3e672281dbe3e1
n221a10984cba0173--tie--1,,tie,derive,n221a10984cba0173
n221a10984cba0173--tied--start--1,n221a10984cba0173--tied--start--1,tied,stamp,n221a10984cba0173
ndaae27c847b80f12--tie--1,,tie,derive,ndaae27c847b80f12
ndaae27c847b80f12--tied--stop--1,ndaae27c847b80f12--tied--stop--1,tied,stamp,ndaae27c847b80f12
nb878ca18c25de4e4--tie--1,,tie,derive,nb878ca18c25de4e4
nb878ca18c25de4e4--tied--stop--1,nb878ca18c25de4e4--tied--stop--1,tied,stamp,nb878ca18c25de4e4
n130e5ce69ffe53da--strong-accent--1,,strong-accent,derive,n130e5ce69ffe53da
nc6873332d446372d--tuplet--start--1,nc6873332d446372d--tuplet--start--1,tuplet,stamp,nc6873332d446372d
n6c4084c6f4b54d11--tuplet--stop--1,n6c4084c6f4b54d11--tuplet--stop--1,tuplet,stamp,n6c4084c6f4b54d11
n632904681b610953--tuplet--start--1,n632904681b610953--tuplet--start--1,tuplet,stamp,n632904681b610953
n32d83e69f5fdeff7--tuplet--stop--1,n32d83e69f5fdeff7--tuplet--stop--1,tuplet,stamp,n32d83e69f5fdeff7
e679e85372732b2fe,e679e85372732b2fe,words,md,1
n6f7d7de1bee7bfb5--tie--1,,tie,derive,n6f7d7de1bee7bfb5
n6f7d7de1bee7bfb5--tied--start--1,n6f7d7de1bee7bfb5--tied--start--1,tied,stamp,n6f7d7de1bee7bfb5
nedfdbebcdaba3a24--tie--1,,tie,derive,nedfdbebcdaba3a24
nedfdbebcdaba3a24--tied--start--1,nedfdbebcdaba3a24--tied--start--1,tied,stamp,nedfdbebcdaba3a24
nb717cd65ea44b0f3--tie--1,,tie,derive,nb717cd65ea44b0f3
nb717cd65ea44b0f3--tied--stop--1,nb717cd65ea44b0f3--tied--stop--1,tied,stamp,nb717cd65ea44b0f3
nc0ea4dc96812196b--tie--1,,tie,derive,nc0ea4dc96812196b
nc0ea4dc96812196b--tied--stop--1,nc0ea4dc96812196b--tied--stop--1,tied,stamp,nc0ea4dc96812196b
n2b00da3a9c986097--strong-accent--1,,strong-accent,derive,n2b00da3a9c986097
nc4b637f54dbd535f--strong-accent--1,,strong-accent,derive,nc4b637f54dbd535f
n4449110e374823d1--tuplet--start--1,n4449110e374823d1--tuplet--start--1,tuplet,stamp,n4449110e374823d1
n2ffc5fa36abed8b9--tuplet--stop--1,n2ffc5fa36abed8b9--tuplet--stop--1,tuplet,stamp,n2ffc5fa36abed8b9
n0769f2e89e0b9cd6--tuplet--start--1,n0769f2e89e0b9cd6--tuplet--start--1,tuplet,stamp,n0769f2e89e0b9cd6
na8d1854e38b8143a--tuplet--stop--1,na8d1854e38b8143a--tuplet--stop--1,tuplet,stamp,na8d1854e38b8143a
n84c18a044279c2f6--tie--1,,tie,derive,n84c18a044279c2f6
n84c18a044279c2f6--tied--start--1,n84c18a044279c2f6--tied--start--1,tied,stamp,n84c18a044279c2f6
n33a45a783856ba1d--tie--1,,tie,derive,n33a45a783856ba1d
n33a45a783856ba1d--tied--start--1,n33a45a783856ba1d--tied--start--1,tied,stamp,n33a45a783856ba1d
nb86294832bc613d0--tie--1,,tie,derive,nb86294832bc613d0
nb86294832bc613d0--tied--stop--1,nb86294832bc613d0--tied--stop--1,tied,stamp,nb86294832bc613d0
n1e075c311d8ebc16--tie--1,,tie,derive,n1e075c311d8ebc16
n1e075c311d8ebc16--tied--stop--1,n1e075c311d8ebc16--tied--stop--1,tied,stamp,n1e075c311d8ebc16
n93137eb978ab0da8--tie--1,,tie,derive,n93137eb978ab0da8
n93137eb978ab0da8--tied--start--1,n93137eb978ab0da8--tied--start--1,tied,stamp,n93137eb978ab0da8
n93137eb978ab0da8--strong-accent--1,,strong-accent,derive,n93137eb978ab0da8
n3a8259b5b5a3d6e9--tuplet--start--1,n3a8259b5b5a3d6e9--tuplet--start--1,tuplet,stamp,n3a8259b5b5a3d6e9
n3a8259b5b5a3d6e9--slur--start--1,n3a8259b5b5a3d6e9--slur--start--1,slur,stamp,n3a8259b5b5a3d6e9
nfd7c2549312f6cf1--tuplet--stop--1,nfd7c2549312f6cf1--tuplet--stop--1,tuplet,stamp,nfd7c2549312f6cf1
nfd7c2549312f6cf1--slur--stop--1,nfd7c2549312f6cf1--slur--stop--1,slur,stamp,nfd7c2549312f6cf1
nc3ecd65fbb6b1001--tuplet--start--1,nc3ecd65fbb6b1001--tuplet--start--1,tuplet,stamp,nc3ecd65fbb6b1001
nd6da1cf57100dc29--tuplet--stop--1,nd6da1cf57100dc29--tuplet--stop--1,tuplet,stamp,nd6da1cf57100dc29
