note_id,original_id,printed_bar
n7af6b3c1b72febd1,n7af6b3c1b72febd1,0
n842d1e5ad2d8839d,n842d1e5ad2d8839d,0
ncae0e7ec3634d539,ncae0e7ec3634d539,1
nee683076c4ab0f1b,nee683076c4ab0f1b,1
nddcefa34d7421bed,nddcefa34d7421bed,1
n05bcd9253d2388a3,n05bcd9253d2388a3,1
n328a6f88d8219602,n328a6f88d8219602,1
n938e726d075811c9,n938e726d075811c9,1
n6e5ecca6ce2d78cb,n6e5ecca6ce2d78cb,1
n2b3812a5eb42c7d3,n2b3812a5eb42c7d3,1
ne86a0a8b3269af1a,ne86a0a8b3269af1a,1
n2cdc9dd33b10ff7d,n2cdc9dd33b10ff7d,1
n63ec6c04ab0ecd46,n63ec6c04ab0ecd46,1
ndfa32fa9dd9dd489,ndfa32fa9dd9dd489,1
n38baad269ecac27d,n38baad269ecac27d,1
nbe19bf272114759b,nbe19bf272114759b,1
n4ce34fb819a82448,n4ce34fb819a82448,1
n0492a10c66216e08,n0492a10c66216e08,1
nf43d35f122cb9420,nf43d35f122cb9420,1
n9f5e947a31c74a92,n9f5e947a31c74a92,1
nf5085195266f6fc1,nf5085195266f6fc1,1
ne4eaf18ed3e06c61,ne4eaf18ed3e06c61,2
nb5da92dd0147e4cc,nb5da92dd0147e4cc,2
ne0e7f5920e6d6137,ne0e7f5920e6d6137,2
n57a30dbfe1a19acd,n57a30dbfe1a19acd,2
n2b7ab5ce2be3b3dd,n2b7ab5ce2be3b3dd,2
nbcfbf9bdb26b9833,nbcfbf9bdb26b9833,2
nb2cb00f2d66705c2,nb2cb00f2d66705c2,2
n82d0f056ba8bc718,n82d0f056ba8bc718,2
n968fe583e4704b1c,n968fe583e4704b1c,2
n55ad7140b05f5587,n55ad7140b05f5587,2
n3f1b57c3590d0059,n3f1b57c3590d0059,2
n57f00c640fba6d33,n57f00c640fba6d33,2
n1d368b94f87b27a9,n1d368b94f87b27a9,2
nfe883c0bcc3da250,nfe883c0bcc3da250,2
n97e90019524a6922,n97e90019524a6922,2
n53e7e54d6f601a66,n53e7e54d6f601a66,2
n561f28a1bddfb0e7,n561f28a1bddfb0e7,2
n9f884e1be8ddb312,n9f884e1be8ddb312,2
ncd4c6181959673d0,ncd4c6181959673d0,2
na9b3fff5f538b8be,na9b3fff5f538b8be,3
ndf3ae15ec11253a0,ndf3ae15ec11253a0,3
ndd3e672281dbe3e1,ndd3e672281dbe3e1,3
n221a10984cba0173,n221a10984cba0173,3
ndaae27c847b80f12,ndaae27c847b80f12,3
nb878ca18c25de4e4,nb878ca18c25de4e4,3
nfb5111631b2a0dd5,nfb5111631b2a0dd5,3
nfa7bfba53d6c3759,nfa7bfba53d6c3759,3
n130e5ce69ffe53da,n130e5ce69ffe53da,3
nc6873332d446372d,nc6873332d446372d,3
n888a96e1ed7609e9,n888a96e1ed7609e9,3
nd22b42d90aecfd28,nd22b42d90aecfd28,3
nc3179f2d1e5d6bc4,nc3179f2d1e5d6bc4,3
nf1c50c4a43d0722f,nf1c50c4a43d0722f,3
nb0ba9e563024333c,nb0ba9e563024333c,3
n05fc0a82a22c7599,n05fc0a82a22c7599,3
n1a3a1353078a5596,n1a3a1353078a5596,3
n6c4084c6f4b54d11,n6c4084c6f4b54d11,3
n632904681b610953,n632904681b610953,3
n1f82ec778b8ac1f4,n1f82ec778b8ac1f4,3
n03254132cb4ade5c,n03254132cb4ade5c,3
nb2c39119615c82cb,nb2c39119615c82cb,3
nd55fdaa06b53944b,nd55fdaa06b53944b,3
nb3a0ec32fc3be36e,nb3a0ec32fc3be36e,3
n8e59dfd2279a6d59,n8e59dfd2279a6d59,3
n7a67f123422695e8,n7a67f123422695e8,3
n32d83e69f5fdeff7,n32d83e69f5fdeff7,3
n839561be0d85dbb3,n839561be0d85dbb3,4
n94b3d152c8909140,n94b3d152c8909140,4
n6f7d7de1bee7bfb5,n6f7d7de1bee7bfb5,4
nedfdbebcdaba3a24,nedfdbebcdaba3a24,4
nb717cd65ea44b0f3,nb717cd65ea44b0f3,4
nc0ea4dc96812196b,nc0ea4dc96812196b,4
n14b1bcd870c1706d,n14b1bcd870c1706d,4
n6d997df7bbd05c28,n6d997df7bbd05c28,4
n2b00da3a9c986097,n2b00da3a9c986097,4
nc4b637f54dbd535f,nc4b637f54dbd535f,4
n4449110e374823d1,n4449110e374823d1,4
nd57b5e2c7bbd0e0f,nd57b5e2c7bbd0e0f,4
n577f40ef1c7e8af5,n577f40ef1c7e8af5,4
n6b182e8f6f09718c,n6b182e8f6f09718c,4
n3346010ee8c647a4,n3346010ee8c647a4,4
n014d08c3586cf6ce,n014d08c3586cf6ce,4
nd9dac86ce4e859f2,nd9dac86ce4e859f2,4
n29df3d59f286fc1f,n29df3d59f286fc1f,4
n2ffc5fa36abed8b9,n2ffc5fa36abed8b9,4
n0769f2e89e0b9cd6,n0769f2e89e0b9cd6,4
nc7cf90c0dc449fdd,nc7cf90c0dc449fdd,4
naddfa1ea382b4203,naddfa1ea382b4203,4
nf379ae7cff4a23d1,nf379ae7cff4a23d1,4
n169329d07945e133,n169329d07945e133,4
ndf4a26dc23655acd,ndf4a26dc23655acd,4
n00e195be79ee0de4,n00e195be79ee0de4,4
nd74c10de201ce25d,nd74c10de201ce25d,4
na8d1854e38b8143a,na8d1854e38b8143a,4
ne291feb268162aee,ne291feb268162aee,5
nea0f34daa5b8111d,nea0f34daa5b8111d,5
n84c18a044279c2f6,n84c18a044279c2f6,5
n33a45a783856ba1d,n33a45a783856ba1d,5
nb86294832bc613d0,nb86294832bc613d0,5
n1e075c311d8ebc16,n1e075c311d8ebc16,5
n8311d8e10a1b007e,n8311d8e10a1b007e,5
nfbd0ffc54fdea1eb,nfbd0ffc54fdea1eb,5
n93137eb978ab0da8,n93137eb978ab0da8,5
n3a8259b5b5a3d6e9,n3a8259b5b5a3d6e9,5
n2e1af57039f25e89,n2e1af57039f25e89,5
nc7ed917dfb1ba4b2,nc7ed917dfb1ba4b2,5
n65b6b304a7f21990,n65b6b304a7f21990,5
n7593ab33fcd5b5fb,n7593ab33fcd5b5fb,5
ncf36ccc07522048c,ncf36ccc07522048c,5
nbd2d8386a1741c59,nbd2d8386a1741c59,5
nf442b0ab974c645a,nf442b0ab974c645a,5
nfd7c2549312f6cf1,nfd7c2549312f6cf1,5
nc3ecd65fbb6b1001,nc3ecd65fbb6b1001,5
n20091767a8d331b7,n20091767a8d331b7,5
n3dff05b92c76f165,n3dff05b92c76f165,5
n7042a243410ccb27,n7042a243410ccb27,5
nb702a9f98369c655,nb702a9f98369c655,5
n0084eabb005300c7,n0084eabb005300c7,5
n8a63c0bacb69fa70,n8a63c0bacb69fa70,5
n8e9a85e7e95e2601,n8e9a85e7e95e2601,5
nd6da1cf57100dc29,nd6da1cf57100dc29,5
nefd68efd37580d35,nefd68efd37580d35,6
n4c14728c674a9cbc,n4c14728c674a9cbc,6
ne98b6ac31de061af,ne98b6ac31de061af,6
na4d9415387e4e50e,na4d9415387e4e50e,6
n8ba50d84239093e2,n8ba50d84239093e2,6
n197139b0be5fe259,n197139b0be5fe259,6
n1c8a505414a147ba,n1c8a505414a147ba,6
n8079334494b08c49,n8079334494b08c49,6
n2eb4e87bc84a70cf,n2eb4e87bc84a70cf,6
nf0da4c3a6d54de54,nf0da4c3a6d54de54,6
