element_id,original_id,tag,carrier,host_or_staff
n6dbd155f6125fa99--tuplet--start--1,n6dbd155f6125fa99--tuplet--start--1,tuplet,stamp,n6dbd155f6125fa99
n6dbd155f6125fa99--slur--start--1,n6dbd155f6125fa99--slur--start--1,slur,stamp,n6dbd155f6125fa99
ne743d42104129b12--tuplet--stop--1,ne743d42104129b12--tuplet--stop--1,tuplet,stamp,ne743d42104129b12
ne743d42104129b12--slur--stop--1,ne743d42104129b12--slur--stop--1,slur,stamp,ne743d42104129b12
nce5387cc4dc2e4e6--tuplet--start--1,nce5387cc4dc2e4e6--tuplet--start--1,tuplet,stamp,nce5387cc4dc2e4e6
nce5387cc4dc2e4e6--slur--start--1,nce5387cc4dc2e4e6--slur--start--1,slur,stamp,nce5387cc4dc2e4e6
n8d8d9d2c4993740e--tuplet--stop--1,n8d8d9d2c4993740e--tuplet--stop--1,tuplet,stamp,n8d8d9d2c4993740e
n8d8d9d2c4993740e--slur--stop--1,n8d8d9d2c4993740e--slur--stop--1,slur,stamp,n8d8d9d2c4993740e
e85cc7ede1eb0e305,,other-direction,md,1
ee5af0b4243f2cc54,ee5af0b4243f2cc54,words,md,1
ebe29159d3cc5498f,ebe29159d3cc5498f,words,md,2
nf544c9cfce129b00--slur--start--1,nf544c9cfce129b00--slur--start--1,slur,stamp,nf544c9cfce129b00
nf544c9cfce129b00--accent--1,,accent,derive,nf544c9cfce129b00
n755ac5c42570da7d--slur--stop--1,n755ac5c42570da7d--slur--stop--1,slur,stamp,n755ac5c42570da7d
n924d42b2bac085bc--slur--start--1,n924d42b2bac085bc--slur--start--1,slur,stamp,n924d42b2bac085bc
n924d42b2bac085bc--accent--1,,accent,derive,n924d42b2bac085bc
nb7fa49dbb4c4c865--slur--stop--1,nb7fa49dbb4c4c865--slur--stop--1,slur,stamp,nb7fa49dbb4c4c865
n5ca3ed1786978c62--arpeggiate--1,n5ca3ed1786978c62--arpeggiate--1,arpeggiate,stamp,n5ca3ed1786978c62
ncce0f16ed7fddce5--arpeggiate--1,ncce0f16ed7fddce5--arpeggiate--1,arpeggiate,stamp,ncce0f16ed7fddce5
ne1ce7806b6eb793c--arpeggiate--1,ne1ce7806b6eb793c--arpeggiate--1,arpeggiate,stamp,ne1ce7806b6eb793c
n1796c1e00fe76e50--arpeggiate--1,n1796c1e00fe76e50--arpeggiate--1,arpeggiate,stamp,n1796c1e00fe76e50
n1e1749cd55bdf0f4--arpeggiate--1,n1e1749cd55bdf0f4--arpeggiate--1,arpeggiate,stamp,n1e1749cd55bdf0f4
nb27ca05947a26fd6--fermata--upright--1,nb27ca05947a26fd6--fermata--upright--1,fermata,stamp,nb27ca05947a26fd6
n85991facf5f4a26f--tie--1,,tie,derive,n85991facf5f4a26f
n85991facf5f4a26f--tied--start--1,n85991facf5f4a26f--tied--start--1,tied,stamp,n85991facf5f4a26f
na813c97a1e6d2a72--tie--1,,tie,derive,na813c97a1e6d2a72
na813c97a1e6d2a72--tied--stop--1,na813c97a1e6d2a72--tied--stop--1,tied,stamp,na813c97a1e6d2a72
n49f3a1a83abaa4cb--fermata--upright--1,n49f3a1a83abaa4cb--fermata--upright--1,fermata,stamp,n49f3a1a83abaa4cb
n70953c71601d3ea3--arpeggiate--1,n70953c71601d3ea3--arpeggiate--1,arpeggiate,stamp,n70953c71601d3ea3
n1af79e5eb53fab6e--arpeggiate--1,n1af79e5eb53fab6e--arpeggiate--1,arpeggiate,stamp,n1af79e5eb53fab6e
na0916a25f748da92--arpeggiate--1,na0916a25f748da92--arpeggiate--1,arpeggiate,stamp,na0916a25f748da92
n9dacb3df6be5ba62--arpeggiate--1,n9dacb3df6be5ba62--arpeggiate--1,arpeggiate,stamp,n9dacb3df6be5ba62
neac5eac9024549ef--arpeggiate--1,neac5eac9024549ef--arpeggiate--1,arpeggiate,stamp,neac5eac9024549ef
nbac836b928d83ef5--arpeggiate--1,nbac836b928d83ef5--arpeggiate--1,arpeggiate,stamp,nbac836b928d83ef5
n6c4084c6f4b54d11--arpeggiate--1,n6c4084c6f4b54d11--arpeggiate--1,arpeggiate,stamp,n6c4084c6f4b54d11
nd38a55d185132695--arpeggiate--1,nd38a55d185132695--arpeggiate--1,arpeggiate,stamp,nd38a55d185132695
n20cedeee86738745--arpeggiate--1,n20cedeee86738745--arpeggiate--1,arpeggiate,stamp,n20cedeee86738745
e54cf32e62db9296b,e54cf32e62db9296b,words,md,1
ncc0925376eac179f--slur--start--1,ncc0925376eac179f--slur--start--1,slur,stamp,ncc0925376eac179f
ncc0925376eac179f--staccato--1,,staccato,derive,ncc0925376eac179f
n0fc1cb9704b4c7c0--slur--stop--1,n0fc1cb9704b4c7c0--slur--stop--1,slur,stamp,n0fc1cb9704b4c7c0
n0fc1cb9704b4c7c0--staccato--1,,staccato,derive,n0fc1cb9704b4c7c0
n215103925480f472--tie--1,,tie,derive,n215103925480f472
n215103925480f472--tied--start--1,n215103925480f472--tied--start--1,tied,stamp,n215103925480f472
nbdff48a926b6cd7a--tie--1,,tie,derive,nbdff48a926b6cd7a
nbdff48a926b6cd7a--tied--stop--1,nbdff48a926b6cd7a--tied--stop--1,tied,stamp,nbdff48a926b6cd7a
nc0ebfcc162469f75--tuplet--start--1,nc0ebfcc162469f75--tuplet--start--1,tuplet,stamp,nc0ebfcc162469f75
nc0ebfcc162469f75--slur--start--1,nc0ebfcc162469f75--slur--start--1,slur,stamp,nc0ebfcc162469f75
nc59ca3590b40cd92--tuplet--stop--1,nc59ca3590b40cd92--tuplet--stop--1,tuplet,stamp,nc59ca3590b40cd92
nc59ca3590b40cd92--slur--stop--1,nc59ca3590b40cd92--slur--stop--1,slur,stamp,nc59ca3590b40cd92
n01a6a32ae388baeb--arpeggiate--1,n01a6a32ae388baeb--arpeggiate--1,arpeggiate,stamp,n01a6a32ae388baeb
nc38c6f2b6e53a0c5--arpeggiate--1,nc38c6f2b6e53a0c5--arpeggiate--1,arpeggiate,stamp,nc38c6f2b6e53a0c5
n4b769a356d656770--arpeggiate--1,n4b769a356d656770--arpeggiate--1,arpeggiate,stamp,n4b769a356d656770
nd0777ca06f64594b--arpeggiate--1,nd0777ca06f64594b--arpeggiate--1,arpeggiate,stamp,nd0777ca06f64594b
n81ee5798689d7955--arpeggiate--1,n81ee5798689d7955--arpeggiate--1,arpeggiate,stamp,n81ee5798689d7955
ncb891cc6aacc2d2c--arpeggiate--1,ncb891cc6aacc2d2c--arpeggiate--1,arpeggiate,stamp,ncb891cc6aacc2d2c
e6c3e3a6b117e821f,e6c3e3a6b117e821f,words,md,2
e7189622bec4979fc,e7189622bec4979fc,pedal,md,2
eccf6bd9c58ac7156,eccf6bd9c58ac7156,wedge,md,2
e0659e7d8250fcdc1,e0659e7d8250fcdc1,pedal,md,2
e30fbc2c13d075b50,e30fbc2c13d075b50,wedge,md,2
neeb8a40183631bb9--slur--start--1,neeb8a40183631bb9--slur--start--1,slur,stamp,neeb8a40183631bb9
neeb8a40183631bb9--staccato--1,,staccato,derive,neeb8a40183631bb9
n1dac546f1f16442e--slur--stop--1,n1dac546f1f16442e--slur--stop--1,slur,stamp,n1dac546f1f16442e
n1dac546f1f16442e--staccato--1,,staccato,derive,n1dac546f1f16442e
e3fc948f60a560063,e3fc948f60a560063,pedal,md,2
e1d2bab43a7aba497,e1d2bab43a7aba497,wedge,md,2
e245ac73073eb3985,e245ac73073eb3985,pedal,md,2
e316266d9970e4dd8,e316266d9970e4dd8,wedge,md,2
n24c1db7d4e5768f0--slur--start--1,n24c1db7d4e5768f0--slur--start--1,slur,stamp,n24c1db7d4e5768f0
n24c1db7d4e5768f0--staccato--1,,staccato,derive,n24c1db7d4e5768f0
nb9c9260c28ee1d08--slur--stop--1,nb9c9260c28ee1d08--slur--stop--1,slur,stamp,nb9c9260c28ee1d08
nb9c9260c28ee1d08--staccato--1,,staccato,derive,nb9c9260c28ee1d08
n40e2eb5fad72713d--tie--1,,tie,derive,n40e2eb5fad72713d
n40e2eb5fad72713d--tied--start--1,n40e2eb5fad72713d--tied--start--1,tied,stamp,n40e2eb5fad72713d
n640c0374b50ad5bb--tie--1,,tie,derive,n640c0374b50ad5bb
n640c0374b50ad5bb--tied--stop--1,n640c0374b50ad5bb--tied--stop--1,tied,stamp,n640c0374b50ad5bb
na4f8e97ae7ade265--tuplet--start--1,na4f8e97ae7ade265--tuplet--start--1,tuplet,stamp,na4f8e97ae7ade265
na4f8e97ae7ade265--slur--start--1,na4f8e97ae7ade265--slur--start--1,slur,stamp,na4f8e97ae7ade265
nc7c33ae84070be1f--tuplet--stop--1,nc7c33ae84070be1f--tuplet--stop--1,tuplet,stamp,nc7c33ae84070be1f
nc7c33ae84070be1f--slur--stop--1,nc7c33ae84070be1f--slur--stop--1,slur,stamp,nc7c33ae84070be1f
n0efbd62bbf29ee52--tuplet--start--1,n0efbd62bbf29ee52--tuplet--start--1,tuplet,stamp,n0efbd62bbf29ee52
n0efbd62bbf29ee52--slur--start--1,n0efbd62bbf29ee52--slur--start--1,slur,stamp,n0efbd62bbf29ee52
n518978566cc1fc1a--tuplet--stop--1,n518978566cc1fc1a--tuplet--stop--1,tuplet,stamp,n518978566cc1fc1a
n518978566cc1fc1a--slur--stop--1,n518978566cc1fc1a--slur--stop--1,slur,stamp,n518978566cc1fc1a
ef0af23ceaac0700d,ef0af23ceaac0700d,pedal,md,2
e49e4db2a5810a89c,e49e4db2a5810a89c,pedal,md,2
na7c2e61e775d1091--tie--1,,tie,derive,na7c2e61e775d1091
na7c2e61e775d1091--tied--start--1,na7c2e61e775d1091--tied--start--1,tied,stamp,na7c2e61e775d1091
na4582fa7e3921bbb--tie--1,,tie,derive,na4582fa7e3921bbb
na4582fa7e3921bbb--tied--stop--1,na4582fa7e3921bbb--tied--stop--1,tied,stamp,na4582fa7e3921bbb
n1c1430cb4db935bd--accent--1,,accent,derive,n1c1430cb4db935bd
e962923e80ead9383,e962923e80ead9383,pedal,md,2
e8df1f7a297319520,e8df1f7a297319520,pedal,md,2
ee7202f3da4813f7b,ee7202f3da4813f7b,wedge,md,2
e3cfbea9145d30bf3,e3cfbea9145d30bf3,wedge,md,2
ec1c14be4babd2e97,ec1c14be4babd2e97,pedal,md,2
e20c970f0e5d7c28e,e20c970f0e5d7c28e,pedal,md,2
n9f7b3fab2a6e832f--tie--1,,tie,derive,n9f7b3fab2a6e832f
n9f7b3fab2a6e832f--tied--start--1,n9f7b3fab2a6e832f--tied--start--1,tied,stamp,n9f7b3fab2a6e832f
n81d3e749ed0191e5--tie--1,,tie,derive,n81d3e749ed0191e5
n81d3e749ed0191e5--tied--stop--1,n81d3e749ed0191e5--tied--stop--1,tied,stamp,n81d3e749ed0191e5
