note_id,original_id,printed_bar
ncae0e7ec3634d539,ncae0e7ec3634d539,1
n1d41d64271c37c34,n1d41d64271c37c34,1
n6dbd155f6125fa99,n6dbd155f6125fa99,1
nabfb9ab928e8e951,nabfb9ab928e8e951,1
ne743d42104129b12,ne743d42104129b12,1
n008c50288dce74df,n008c50288dce74df,1
nd588f7ef2e58c475,nd588f7ef2e58c475,1
nce5387cc4dc2e4e6,nce5387cc4dc2e4e6,1
nf9c36ed43c36a3c9,nf9c36ed43c36a3c9,1
n8d8d9d2c4993740e,n8d8d9d2c4993740e,1
ne4eaf18ed3e06c61,ne4eaf18ed3e06c61,2
nf544c9cfce129b00,nf544c9cfce129b00,2
nd260bb5483a7fee5,nd260bb5483a7fee5,2
n73ab13648df19954,n73ab13648df19954,2
n755ac5c42570da7d,n755ac5c42570da7d,2
n924d42b2bac085bc,n924d42b2bac085bc,2
n3307e3b4fb652962,n3307e3b4fb652962,2
n923c7f0ecfcd16f3,n923c7f0ecfcd16f3,2
nb7fa49dbb4c4c865,nb7fa49dbb4c4c865,2
n7e73af2982d29453,n7e73af2982d29453,2
n5ca3ed1786978c62,n5ca3ed1786978c62,2
ncce0f16ed7fddce5,ncce0f16ed7fddce5,2
ne1ce7806b6eb793c,ne1ce7806b6eb793c,2
n0bc7273135f431a4,n0bc7273135f431a4,2
nf791bed87ed2611e,nf791bed87ed2611e,2
n37f2281073b4b2eb,n37f2281073b4b2eb,2
n1796c1e00fe76e50,n1796c1e00fe76e50,2
n1e1749cd55bdf0f4,n1e1749cd55bdf0f4,2
necbc3c326b153905,necbc3c326b153905,2
nced816cf8c1e1f30,nced816cf8c1e1f30,2
nb27ca05947a26fd6,nb27ca05947a26fd6,3
n85991facf5f4a26f,n85991facf5f4a26f,3
na813c97a1e6d2a72,na813c97a1e6d2a72,3
ncdf304b4b3a5c889,ncdf304b4b3a5c889,3
n49f3a1a83abaa4cb,n49f3a1a83abaa4cb,3
na9b3fff5f538b8be,na9b3fff5f538b8be,3
n70953c71601d3ea3,n70953c71601d3ea3,3
n1af79e5eb53fab6e,n1af79e5eb53fab6e,3
na0916a25f748da92,na0916a25f748da92,3
n8d53bfbc7935dfd7,n8d53bfbc7935dfd7,3
n9dacb3df6be5ba62,n9dacb3df6be5ba62,3
neac5eac9024549ef,neac5eac9024549ef,3
nbac836b928d83ef5,nbac836b928d83ef5,3
n7e654cff449b6cf6,n7e654cff449b6cf6,3
n6c4084c6f4b54d11,n6c4084c6f4b54d11,3
nd38a55d185132695,nd38a55d185132695,3
n20cedeee86738745,n20cedeee86738745,3
n13af33fe30d02fa9,n13af33fe30d02fa9,3
ndf3ae15ec11253a0,ndf3ae15ec11253a0,3
n2400545a82b853df,n2400545a82b853df,3
n09d9fb1a6e2dd12b,n09d9fb1a6e2dd12b,4
n839561be0d85dbb3,n839561be0d85dbb3,4
n94b3d152c8909140,n94b3d152c8909140,4
ncc0925376eac179f,ncc0925376eac179f,4
nabf41576c835026f,nabf41576c835026f,4
n27f007ddf63d7da3,n27f007ddf63d7da3,4
n0fc1cb9704b4c7c0,n0fc1cb9704b4c7c0,4
n1d89268d0a166ffe,n1d89268d0a166ffe,4
n16c79a54df616323,n16c79a54df616323,4
n215103925480f472,n215103925480f472,4
nbdff48a926b6cd7a,nbdff48a926b6cd7a,4
n4d04e749c95de838,n4d04e749c95de838,4
nc0ebfcc162469f75,nc0ebfcc162469f75,4
nf4c5826284ce7200,nf4c5826284ce7200,4
n95a5c997fd4db2af,n95a5c997fd4db2af,4
nd7344edc46895570,nd7344edc46895570,4
nc59ca3590b40cd92,nc59ca3590b40cd92,4
nb1d45b024c895f68,nb1d45b024c895f68,4
n26c65e22374ec57d,n26c65e22374ec57d,4
n7e473b7eeb3f3974,n7e473b7eeb3f3974,4
n01a6a32ae388baeb,n01a6a32ae388baeb,4
nc38c6f2b6e53a0c5,nc38c6f2b6e53a0c5,4
n4b769a356d656770,n4b769a356d656770,4
nd0777ca06f64594b,nd0777ca06f64594b,4
n81ee5798689d7955,n81ee5798689d7955,4
ncb891cc6aacc2d2c,ncb891cc6aacc2d2c,4
ne291feb268162aee,ne291feb268162aee,5
neeb8a40183631bb9,neeb8a40183631bb9,5
nbf304a8d66a2dbe8,nbf304a8d66a2dbe8,5
nb28aaea0534e4f65,nb28aaea0534e4f65,5
n1dac546f1f16442e,n1dac546f1f16442e,5
n84c18a044279c2f6,n84c18a044279c2f6,5
n33a45a783856ba1d,n33a45a783856ba1d,5
n2409cc84cb1e6722,n2409cc84cb1e6722,5
nf56b68b50cbe4e2f,nf56b68b50cbe4e2f,5
n318ac25e53f1ef55,n318ac25e53f1ef55,5
n48b1f48488ba08a7,n48b1f48488ba08a7,5
n9e4f90c5c1d999a3,n9e4f90c5c1d999a3,5
n9da628096f086543,n9da628096f086543,5
ndbf96aa97eb9e85b,ndbf96aa97eb9e85b,5
nea0f34daa5b8111d,nea0f34daa5b8111d,5
ncc04bd1085cbe471,ncc04bd1085cbe471,5
n208ad209f513bd21,n208ad209f513bd21,5
nc414e7380fbf47d9,nc414e7380fbf47d9,5
nb9d9ae13741cecc8,nb9d9ae13741cecc8,5
n8311d8e10a1b007e,n8311d8e10a1b007e,5
nfbd0ffc54fdea1eb,nfbd0ffc54fdea1eb,5
n62b7ab68a1604a89,n62b7ab68a1604a89,6
nefd68efd37580d35,nefd68efd37580d35,6
n24c1db7d4e5768f0,n24c1db7d4e5768f0,6
nbebb8493c1bf7568,nbebb8493c1bf7568,6
ne924b118be90fa23,ne924b118be90fa23,6
nb9c9260c28ee1d08,nb9c9260c28ee1d08,6
na8bfe585dad24afb,na8bfe585dad24afb,6
n229de04720379e2d,n229de04720379e2d,6
n40e2eb5fad72713d,n40e2eb5fad72713d,6
n640c0374b50ad5bb,n640c0374b50ad5bb,6
n6fea75bbc6534a45,n6fea75bbc6534a45,6
na4f8e97ae7ade265,na4f8e97ae7ade265,6
nfd406fc3c914ff59,nfd406fc3c914ff59,6
nbcfaac58670fc12b,nbcfaac58670fc12b,6
n59453d593a9d5c8d,n59453d593a9d5c8d,6
nc7c33ae84070be1f,nc7c33ae84070be1f,6
n0efbd62bbf29ee52,n0efbd62bbf29ee52,6
nc0b8f75bac3660f7,nc0b8f75bac3660f7,6
n518978566cc1fc1a,n518978566cc1fc1a,6
n4c14728c674a9cbc,n4c14728c674a9cbc,6
n78d131a1c0d85dcf,n78d131a1c0d85dcf,6
na74b9cb562acaf2c,na74b9cb562acaf2c,6
n36dd49865d6146e5,n36dd49865d6146e5,6
n8dec5ef14cae0a12,n8dec5ef14cae0a12,6
n59152f20a7a54c54,n59152f20a7a54c54,6
neebc902dbcca0b29,neebc902dbcca0b29,6
nb35b9a9727a2c1b4,nb35b9a9727a2c1b4,7
na7c2e61e775d1091,na7c2e61e775d1091,7
na4582fa7e3921bbb,na4582fa7e3921bbb,7
nbb7b2da44f923bca,nbb7b2da44f923bca,7
ncab51a27380f1d8b,ncab51a27380f1d8b,7
n1c1430cb4db935bd,n1c1430cb4db935bd,7
nf93873a4b61ba5be,nf93873a4b61ba5be,7
n3385b4c76df2d62b,n3385b4c76df2d62b,7
n070ffd277d6955c1,n070ffd277d6955c1,7
ne5dea43b3730317e,ne5dea43b3730317e,7
n588063ae152a6ed1,n588063ae152a6ed1,7
n8355a503a2d146a7,n8355a503a2d146a7,7
n2176f9024ff8a5b3,n2176f9024ff8a5b3,7
n037d789c061d614b,n037d789c061d614b,7
nb04187637ca6dc4f,nb04187637ca6dc4f,7
nb0eed1f78847f7c4,nb0eed1f78847f7c4,7
n2522b4cc23a32a9c,n2522b4cc23a32a9c,7
n67fab4089750ba9f,n67fab4089750ba9f,8
n9f7b3fab2a6e832f,n9f7b3fab2a6e832f,8
n81d3e749ed0191e5,n81d3e749ed0191e5,8
n20d5e12ffbce073a,n20d5e12ffbce073a,8
n5f4ae8a015e3a4cf,n5f4ae8a015e3a4cf,8
nae1afee9f4569a6d,nae1afee9f4569a6d,8
n7e09cd6c05f25ce9,n7e09cd6c05f25ce9,8
n6041389f7d08a321,n6041389f7d08a321,8
nf516ed633314f194,nf516ed633314f194,8
nfb25bc524d8c568b,nfb25bc524d8c568b,8
n32e4a81c61cba897,n32e4a81c61cba897,8
n5963bd2bf5b82384,n5963bd2bf5b82384,8
n831da31669876b4a,n831da31669876b4a,8
nef93f8e265e470bd,nef93f8e265e470bd,8
n557a911c710ec643,n557a911c710ec643,8
ndb0626b0b3996f9b,ndb0626b0b3996f9b,8
na7a8af578236bbe9,na7a8af578236bbe9,8
n735ed2f3969d043e,n735ed2f3969d043e,8
n6c380fac86f8cc42,n6c380fac86f8cc42,8
n29eaaf9d77b8e248,n29eaaf9d77b8e248,8
nb11d7362c18e7d39,nb11d7362c18e7d39,8
n535ae97fcb082fa6,n535ae97fcb082fa6,9
n4aac0465ca5969be,n4aac0465ca5969be,9
nfe5748610a518bea,nfe5748610a518bea,9
na9f5f4aba7b667e7,na9f5f4aba7b667e7,9
n7443911e2235bba4,n7443911e2235bba4,9
n3cf3032bfa898a3f,n3cf3032bfa898a3f,9
nee8474916390e350,nee8474916390e350,9
n36c0029ef58c2518,n36c0029ef58c2518,9
n84f3ade344fa8257,n84f3ade344fa8257,9
nf4bb9247d3229a9e,nf4bb9247d3229a9e,10
n265dadde49621f20,n265dadde49621f20,10
ne334a21b93bbe85f,ne334a21b93bbe85f,10
nd285a2acd8725d0b,nd285a2acd8725d0b,10
nf188ff6ca56482f2,nf188ff6ca56482f2,10
n8a75517bbac66ddc,n8a75517bbac66ddc,10
n6659e544f2cf8ec1,n6659e544f2cf8ec1,10
naf8e498f453b87b2,naf8e498f453b87b2,10
n1f3a3566ed5264a9,n1f3a3566ed5264a9,10
ndefd6a7b26a0873b,ndefd6a7b26a0873b,10
n20f90f4ba3432d88,n20f90f4ba3432d88,10
nf8a9d7898d6cccdd,nf8a9d7898d6cccdd,10
nd002f852d04419d5,nd002f852d04419d5,10
nef3bd43410fcc7c4,nef3bd43410fcc7c4,10
n3fc75e20ccf43cd3,n3fc75e20ccf43cd3,10
nd6be421ce13a050e,nd6be421ce13a050e,10
nea6025dcf6f7a4e0,nea6025dcf6f7a4e0,10
nbc9930db466d9f18,nbc9930db466d9f18,10
n79f205150d86f712,n79f205150d86f712,10
ncdd872fbb1e5eedf,ncdd872fbb1e5eedf,10
n1cb4fbcc217cf31d,n1cb4fbcc217cf31d,10
nd4f72bf81256f3de,nd4f72bf81256f3de,10
n28ba1359c1034b3f,n28ba1359c1034b3f,10
n99061377b4341739,n99061377b4341739,10
n093bc9139d8d2f21,n093bc9139d8d2f21,10
n4c63139ddfd4e98d,n4c63139ddfd4e98d,10
n65541c36c729a682,n65541c36c729a682,10
ne252f934c9a53c56,ne252f934c9a53c56,10
nb1e18c384857702e,nb1e18c384857702e,10
n7899c0a85a63f384,n7899c0a85a63f384,10
ncc83f8e121a3dd15,ncc83f8e121a3dd15,10
nd449adfac31adc9f,nd449adfac31adc9f,10
n0f943b260b394ee0,n0f943b260b394ee0,10
n48b4e666afd31412,n48b4e666afd31412,10
n6167bee2c9aaf092,n6167bee2c9aaf092,10
n09c1d0f8dbcc9f61,n09c1d0f8dbcc9f61,10
naa6237c269654380,naa6237c269654380,10
nb6bf77289316e4e7,nb6bf77289316e4e7,10
n21ce2da961b8feb6,n21ce2da961b8feb6,10
n3c4265ea9a88f497,n3c4265ea9a88f497,10
ndee29c52a8d06875,ndee29c52a8d06875,10
n862a8231703dfb46,n862a8231703dfb46,10
ne60539ef2bd1eb95,ne60539ef2bd1eb95,10
n46d1051f70050263,n46d1051f70050263,10
n135dcf3cf2a513de,n135dcf3cf2a513de,10
